personal_status
male mar/wid
male single
male mar/wid
male single
male single
male single
female div/dep/mar
female div/dep/mar
male single
female div/dep/mar
male single
male single
male single
female div/dep/mar
female div/dep/mar
male single
male single
female div/dep/mar
male single
male single
male single
male single
male single
female div/dep/mar
female div/dep/mar
female div/dep/mar
male single
female div/dep/mar
male mar/wid
female div/dep/mar
male single
male single
male single
male single
male single
male single
male single
female div/dep/mar
male single
male div/sep
female div/dep/mar
male single
female div/dep/mar
male single
male div/sep
male single
female div/dep/mar
female div/dep/mar
male div/sep
male mar/wid
male single
female div/dep/mar
male single
female div/dep/mar
female div/dep/mar
male single
male single
male single
male div/sep
male single
female div/dep/mar
male single
male mar/wid
male single
female div/dep/mar
male single
male single
female div/dep/mar
female div/dep/mar
female div/dep/mar
male single
female div/dep/mar
male div/sep
male single
female div/dep/mar
male single
male single
male single
male single
male single
male div/sep
male mar/wid
male single
male mar/wid
female div/dep/mar
male single
female div/dep/mar
female div/dep/mar
female div/dep/mar
male single
male single
female div/dep/mar
male single
male single
female div/dep/mar
male single
male single
male single
female div/dep/mar
male single
male single
female div/dep/mar
female div/dep/mar
male single
male single
female div/dep/mar
male single
male single
male single
male single
male single
male single
female div/dep/mar
female div/dep/mar
male single
male single
male single
male single
female div/dep/mar
female div/dep/mar
male div/sep
female div/dep/mar
male single
male single
male single
male mar/wid
male single
male single
female div/dep/mar
male div/sep
female div/dep/mar
male single
male single
female div/dep/mar
male single
female div/dep/mar
male single
male single
female div/dep/mar
male single
male single
female div/dep/mar
male single
male single
female div/dep/mar
male single
male single
female div/dep/mar
male single
male single
male single
male single
male mar/wid
male single
female div/dep/mar
male single
male div/sep
male single
female div/dep/mar
male single
female div/dep/mar
female div/dep/mar
male single
male single
female div/dep/mar
male single
female div/dep/mar
male single
male single
male single
male single
male single
female div/dep/mar
male single
male single
male single
male single
male single
male single
male single
female div/dep/mar
female div/dep/mar
male single
male single
male mar/wid
male single
male mar/wid
female div/dep/mar
male single
male single
female div/dep/mar
male single
male single
male mar/wid
female div/dep/mar
male single
male single
male single
male single
male single
